Chat;sender 1;Hey whats up?
Chat;sender 2;Lunch?
Chat;sender 3;How was your weekend?
Chat;sender 4;Wanna see a new trick to loose weigeht?
Chat;sender 5;Hey do you know that customer ABC?
Chat;sender 6;Could you check that issue for me?
Chat;sender 7;Good Morning, did you already check the prices?
Mail;sender8@sending.com;Hello, I want to know the price of Product A
Mail;sender9@sending.com;Hello, I need a refund.
Mail;sender10@sending.com;What is that? I got a dead rat in my package?!
Mail;sender11@sending.com;Dear Sir or Madame, Thanks for you delivery. I think it looks good, but anyway - I do not want to pay.
Mail;sender12@sending.com;Spam Spam Spam - know the best Bitcoin trick? Click here please
Mail;sender13@sending.com;Your products looking good. Is there any chance for a discount?
Mail;sender14@sending.com;Hey I want to order samples for all products
Mail;sender14@sending.com;Hey, Here is your boss. Please work today 1 h more. I want to golf?
Mail;sender15@sending.com;Hey fellows, Your collegue here. Please check out the new products soon.
